portal.uea.ac.uk/student-support-service/learning-enhancement/study-resources/revision-exams,"[['revision', 'and', 'exams', 'uea']]"
portal.uea.ac.uk/planningoffice/biu/hediip,"[['hediip', 'uea']]"
portal.uea.ac.uk/arm/alumni-conferences-and-events/conferences,"[['conferences', 'uea']]"
portal.uea.ac.uk/planningoffice/people,"[['people', 'the', 'hub', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport,"[['travel', 'and', 'transport', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/students,"[['current', 'students', 'uea']]"
portal.uea.ac.uk/accommodation/living-in-residences/terms-and-conditions,"[['terms', 'and', 'conditions', 'uea']]"
portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/this-weeks-campus-kitchen,"[['this', 'weeks', 'campus', 'kitchen', 'latest', 'news', 'uea']]"
portal.uea.ac.uk/planningoffice/people/profile/list/all/tz,"[['people', 'the', 'hub', 'uea']]"
portal.uea.ac.uk/postgraduate-research/personal-and-professional-development-ppd,"[['pgr', 'training', 'uea']]"
portal.uea.ac.uk/estates/estates-improvements,"[['estates', 'improvements', 'uea']]"
portal.uea.ac.uk/csed/resources/acronyms,"[['acronyms', 'uea']]"
portal.uea.ac.uk/finance/payroll,"[['payroll', 'pensions', 'office', 'uea']]"
portal.uea.ac.uk/dos/wellbeing/disability/examination-arrangements,"[['examination', 'arrangements', 'uea']]"
portal.uea.ac.uk/student-support-service/people,"[['people', 'uea']]"
portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/blog/residence-heating-guide-nelson-court-constable-terrace,"[['residence', 'heating', 'guide', 'nelson', 'court', 'constable', 'terrace', 'latest', 'news', 'uea']]"
portal.uea.ac.uk/csed/resources,"[['resources', 'uea']]"
portal.uea.ac.uk/postgraduate-research/appeals-complaints,"[['pgr', 'appeals', 'and', 'complaints', 'uea']]"
portal.uea.ac.uk/accommodation/living-in-residences/study-spaces,"[['study', 'spaces', 'uea']]"
portal.uea.ac.uk/estates/events-and-activities/catering1,"[['event', 'and', 'hospitality', 'catering', 'uea']]"
portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/blog/residence-heating-guide-browne-victory-kett-paston-colman-britten,"[['residence', 'heating', 'guide', 'browne', 'victory', 'kett', 'paston', 'colman', 'britten', 'latest', 'news', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport/by-car/smartshare-car-sharing,"[['smartshare', 'car', 'sharing', 'uea']]"
portal.uea.ac.uk/finance/debtors,"[['accounts', 'receivable', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/writers-groups,"[['writers', 'groups', 'uea']]"
portal.uea.ac.uk/estates/improving-your-campus/buildings-and-projects,"[['in', 'the', 'pipeline', 'uea']]"
portal.uea.ac.uk/procurement/buyers-guide,"[['buyers', 'guide', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport/-/asset_publisher/Tr4J1aZA2DXu/content/cycle-to-work-breakfast,"[['cycle', 'to', 'work', 'breakfast', 'travel', 'and', 'transport', 'uea']]"
portal.uea.ac.uk/estates/events-and-activities/events,"[['events', 'uea']]"
portal.uea.ac.uk/student-support-service/wellbeing/workshops-and-groups,"[['workshops', 'and', 'groups', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/workshops/revision-exams,"[['revision', 'and', 'exam', 'skills', 'workshops', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/international-students,"[['international', 'students', 'uea']]"
portal.uea.ac.uk/en_US/staff-mobility,"[['staff', 'mobility', 'uea']]"
portal.uea.ac.uk/catering/cafes-and-restaurants/vista,"[['vista', 'uea']]"
portal.uea.ac.uk/planningoffice/committee-office,"[['committee', 'office', 'uea']]"
portal.uea.ac.uk/accommodation/living-in-residences/contents-insurance,"[['contents', 'insurance', 'uea']]"
portal.uea.ac.uk/arm/uea-vision,"[['our', 'vision', 'for', 'success', 'in', 'uea']]"
portal.uea.ac.uk/estates/grounds/respecting-the-grounds,"[['respecting', 'the', 'grounds', 'uea']]"
portal.uea.ac.uk/finance/insurance-policies,"[['insurance', 'policies', 'at', 'uea', 'uea']]"
portal.uea.ac.uk/csed/resources/creativity,"[['creativity', 'courses', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/students/forms,"[['forms', 'uea'], []]"
portal.uea.ac.uk/academic-calendar/general-regulations,"[['general', 'regulations', 'uea']]"
portal.uea.ac.uk/estates/campus-heating,"[['campus', 'heating', 'uea']]"
portal.uea.ac.uk/dos/wellbeing/counselling/staff-counselling,"[['staff', 'counselling', 'uea']]"
portal.uea.ac.uk/planningoffice/biu/planning-and-management/facts-and-figures,"[['facts', 'and', 'figures', 'the', 'university', 'student', 'body', 'uea']]"
portal.uea.ac.uk/finance,"[['finance', 'uea']]"
portal.uea.ac.uk/procurement/meet-the-team,"[['meet', 'the', 'procurement', 'team', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport/by-bike,"[['by', 'bike', 'uea']]"
portal.uea.ac.uk/vco/intranet,"[['intranet', 'uea']]"
